301107708	29.0602213	-13.4839417	volcano	La Caldera o Tinamala	No data	No data	323	No data	"ele":"323","name":"La Caldera o Tinamala","natural":"volcano"
301108110	29.1708665	-13.4989942	volcano	Los Helechos	No data	No data	581	No data	"ele":"581","name":"Los Helechos","natural":"volcano"
301108111	29.1847133	-13.483782	volcano	Monte Corona	No data	No data	609	No data	"ele":"609","name":"Monte Corona","type":"scoria","natural":"volcano","condition":"dormant"
301109609	29.0113623	-13.536347	volcano	Tahíche	No data	No data	321	No data	"ele":"321","name":"Tahíche","natural":"volcano"
301111068	28.9707324	-13.7243658	volcano	Montaña Chupaderos	No data	No data	313	No data	"ele":"313","name":"Montaña Chupaderos","natural":"volcano"
301111069	28.9795963	-13.7103598	volcano	Montaña Diama	No data	No data	468	No data	"ele":"468","name":"Montaña Diama","natural":"volcano"
301111070	28.9493343	-13.7162464	volcano	Tinasoria	No data	No data	503	No data	"ele":"503","name":"Tinasoria","natural":"volcano"
309204564	-1.4646106	29.4197719	volcano	Mount Mikeno	No data	No data	4437	No data	"ele":"4437","name":"Mount Mikeno","natural":"volcano","volcano:status":"extinct","wikipedia":"en:Mount Mikeno"
309204570	-1.5070151	29.4513246	volcano	Mount Karisimbi	No data	No data	4507	No data	"ele":"4507","name":"Mount Karisimbi","natural":"volcano","volcano:status":"dormant","wikipedia":"en:Mount Karisimbi"
309205211	-1.5224346	29.2498235	volcano	Nyiragongo	No data	No data	3470	No data	"ele":"3470","name":"Nyiragongo","natural":"volcano","volcano:type":"strato","volcano:status":"active"
309205255	-1.3896398	29.5913114	volcano	Mount Sabinyo	No data	No data	3645	No data	"ele":"3645","loc_name":"Old Man's Teeth","name":"Mount Sabinyo","natural":"volcano","volcano:status":"extinct","wikipedia":"en:Mount Sabyinyo"
309205852	-1.3851559	29.6810405	volcano	Mount Muhabura	No data	No data	4127	No data	"alt_name":"Mount Muhavura","ele":"4127","name":"Mount Muhabura","natural":"volcano","volcano:status":"extinct","wikipedia":"en:Mount Muhabura"
310987482	-1.4588241	29.4849157	volcano	Mount Bisoke	No data	No data	3711	No data	"alt_name":"Mount Visoke","ele":"3711","name":"Mount Bisoke","natural":"volcano","volcano:status":"extinct","wikipedia":"en:Mount Bisoke"
310988033	-1.3856708	29.6467597	volcano	Mount Mgahinga	No data	No data	3474	No data	"ele":"3474","name":"Mount Mgahinga","natural":"volcano","volcano:status":"extinct"
316803555	11.6603448	42.41417	volcano	No data	No data	No data	0	No data	"natural":"volcano","condition":"extinct"
316813444	12.7497313	40.3039367	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316813448	12.7393505	40.3566368	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316813455	12.7147351	40.3726039	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f","is_in:country":"Ethiopia"
316813466	12.708708	40.3343208	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316813469	12.725453	40.3272827	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316813477	12.7450421	40.3815303	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f","is_in:country":"Ethiopia"
316813486	12.7591072	40.3508003	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316813853	12.8894956	40.5736168	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316814064	13.00192	40.672322	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316814184	13.0882158	40.8532526	volcano	Afdera	No data	No data	1295	No data	"ele":"1295","name":"Afdera","type":"stratovolcano","source":"landsat;wikipedia","natural":"volcano","condition":"active","wikipedia":"en:Afdera (volcano)","description":"Last erupted 1907 (as of 2008). located at the intersection of three fault systems between the Erta Ale, Tat Ali, and Alayta mountain ranges.["
316814232	13.0293492	40.8405502	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316814236	13.0241647	40.8606346	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316814238	13.0268406	40.8757408	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316814240	13.0494174	40.9042366	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
316814825	12.6810762	40.3983505	volcano	No data	No data	No data	0	No data	"source":"landsat","natural":"volcano","created_by":"Potlatch 0.10f"
